club,jugador,jugador_normalizado,dorsal,posicion,foto_url
Elche CF,Grady Diangana,grady diangana,19,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/342048-1723555515.jpg
Elche CF,Josan,josan,17,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/277533-1601023578.jpg
Elche CF,Adam Boayar,adam boayar,32,Mediapunta,
Elche CF,Ali Houary,ali houary,29,Mediapunta,
Elche CF,Ezequiel Ponce,ezequiel ponce,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/296783-1771689308.jpg
Elche CF,Fer Niño,fer nino,14,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/627294-1712140796.jpg
Elche CF,Abiel Osorio,abiel osorio,-,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/991773-1770650623.jpg
Valencia CF,Stole Dimitrievski,stole dimitrievski,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/165467-1541150592.jpg
Valencia CF,Cristian Rivero,cristian rivero,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/398131-1745337358.jpg
Valencia CF,César Tárrega,cesar tarrega,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/707274-1698963222.jpg
Valencia CF,Justin de Haas,justin de haas,12,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/420196-1605471356.jpg
Valencia CF,José Copete,jose copete,3,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/520840-1674915512.JPG
Valencia CF,Mouctar Diakhaby,mouctar diakhaby,4,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/346289-1709636432.jpg
Valencia CF,Iker Córdoba,iker cordoba,36,Defensa central,
Valencia CF,José Gayà,jose gaya,14,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/221322-1605193468.jpg
Valencia CF,Jesús Vázquez,jesus vazquez,21,Lateral izquierdo,https://img.a.transfermarkt.technology/portrait/medium/623024-1644238446.jpg
Valencia CF,Pablo Maffeo,pablo maffeo,24,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/251876-1784897141.png
Valencia CF,Dimitri Foulquier,dimitri foulquier,20,Lateral derecho,https://img.a.transfermarkt.technology/portrait/medium/170472-1447230887.jpg
Valencia CF,Pepelu,pepelu,18,Pivote,https://img.a.transfermarkt.technology/portrait/medium/328480-1713971066.jpg
Valencia CF,Guido Rodríguez,guido rodriguez,2,Pivote,https://img.a.transfermarkt.technology/portrait/medium/342385-1668181269.jpg
Valencia CF,Aliou Dieng,aliou dieng,15,Pivote,https://img.a.transfermarkt.technology/portrait/medium/410427-1615125228.jpg
Valencia CF,Javi Guerra,javi guerra,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/834764-1696188716.jpg
Valencia CF,Filip Ugrinic,filip ugrinic,23,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/394236-1700817304.png
