clave,squad_id,team_slug,seccion_album,equipo,dorsal,posicion,posicion_slug,rol,rol_slug,nombre,apodo,nombre_pila,apellidos,fecha_nacimiento,lugar_nacimiento,pais,altura_cm,peso_kg,internacional,activo,cedido,cedido_fuera,foto_url,foto_grande_url,foto_cuadrada_url,person_id,opta_id,temporada
elche-c-f-84457,84457,elche-c-f,ELCHE CF,Elche CF,33,Delantero,delantero,Jugador,jugador,Nordin Al Lal,N. Al-Lal,Nordin,Al Lal,2005-02-14,,MA,178,,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p631383/512x556/p631383_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p631383/1024x1113/p631383_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p631383/512x512/p631383_t954_2026_0_002_000.jpg,33701,p631383,2026
elche-c-f-86137,86137,elche-c-f,ELCHE CF,Elche CF,,Segundo entrenador,segundo-entrenador,Segundo entrenador,segundo-entrenador,Luis Pastur,Luis Pastur,Luis,Pastur,1991-07-28,,ES,,,false,true,false,false,https://assets.laliga.com/assets/useful/default-player/512x556/manager_001.png,https://assets.laliga.com/assets/useful/default-player/1024x1113/manager_001.png,https://assets.laliga.com/assets/useful/default-player/512x512/manager_002.jpeg,47055,man69606,2026
rcd-espanyol-84503,84503,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,,Entrenador,entrenador,Entrenador,entrenador,José Manuel González Álvarez,Manolo González,José Manuel,González Álvarez,1979-01-14,Folgoso do Courel,ES,,,false,true,false,false,https://assets.laliga.com/squad/2026/t177/man50805/512x556/man50805_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/man50805/1024x1113/man50805_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/man50805/512x512/man50805_t177_2026_0_002_000.jpg,9347,man50805,2026
rcd-espanyol-84464,84464,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,1,Portero,portero,Jugador,jugador,Ángel Fortuño,Àngel Fortuño,Ángel,Fortuño,2001-10-05,Barcelona,ES,183,77,false,true,false,false,https://assets.laliga.com/squad/2026/t177/p513951/512x556/p513951_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p513951/1024x1113/p513951_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p513951/512x512/p513951_t177_2026_0_002_000.jpg,14931,p513951,2026
rcd-espanyol-84465,84465,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,13,Portero,portero,Jugador,jugador,Marko Dmitrovic,Dmitrovic,Marko,Dmitrovic,1992-01-24,Subotica,RS,194,91,false,true,false,false,https://assets.laliga.com/squad/2026/t177/p94618/512x556/p94618_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p94618/1024x1113/p94618_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p94618/512x512/p94618_t177_2026_0_002_000.jpg,1988,p94618,2026
rcd-espanyol-84467,84467,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,31,Portero,portero,Jugador,jugador,Llorenç Serred Martínez,Llorenç,Llorenç,Serred Martínez,2005-09-04,Terrassa,ES,186,76,false,true,false,false,https://assets.laliga.com/assets/useful/default-player/512x556/male_1_001.png,https://assets.laliga.com/assets/useful/default-player/1024x1113/male_1_001.png,https://assets.laliga.com/assets/useful/default-player/512x512/male_1_002.jpeg,35645,p650358,2026
rcd-espanyol-87081,87081,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,2,Defensa,defensa,Jugador,jugador,Andoni Gorosabel,Gorosabel,Andoni,Gorosabel,1996-08-04,Arrasate,ES,174,70,false,true,true,false,https://assets.laliga.com/squad/2026/t177/default/512x556/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/1024x1113/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/512x512/default_t177_2026_0_002_000.jpg,6943,p235227,2026
rcd-espanyol-85596,85596,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,3,Defensa,defensa,Jugador,jugador,Quilindschy Hartman,Quilindschy,Quilindschy,Hartman,2001-11-14,Zwijndrecht,NL,183,77,false,true,true,false,https://assets.laliga.com/squad/2026/t177/default/512x556/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/1024x1113/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/512x512/default_t177_2026_0_002_000.jpg,30307,p494960,2026
rcd-espanyol-84479,84479,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,4,Defensa,defensa,Jugador,jugador,Urko González de Zárate Quirós,Urko,Urko,González de Zárate Quirós,2001-03-20,Vitoria-Gasteiz,ES,189,83,false,true,false,false,https://assets.laliga.com/squad/2026/t177/p514204/512x556/p514204_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p514204/1024x1113/p514204_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p514204/512x512/p514204_t177_2026_0_002_000.jpg,15000,p514204,2026
rcd-espanyol-84477,84477,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,5,Defensa,defensa,Jugador,jugador,Clemens Riedel,Riedel,Clemens,Riedel,2003-07-19,Wölfersheim,DE,186,83,false,true,false,false,https://assets.laliga.com/squad/2026/t177/p514968/512x556/p514968_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p514968/1024x1113/p514968_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p514968/512x512/p514968_t177_2026_0_002_000.jpg,32985,p514968,2026
rcd-espanyol-84472,84472,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,6,Defensa,defensa,Jugador,jugador,Leandro Cabrera,Cabrera,Leandro,Cabrera,1991-06-17,Montevideo,UY,190,80,false,true,false,false,https://assets.laliga.com/squad/2026/t177/p64662/512x556/p64662_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p64662/1024x1113/p64662_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/p64662/512x512/p64662_t177_2026_0_002_000.jpg,985,p64662,2026
rcd-espanyol-86398,86398,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,14,Defensa,defensa,Jugador,jugador,Unai Núñez,Nuñez,Unai,Núñez,1997-01-30,Portugalete,ES,186,80,false,true,true,false,https://assets.laliga.com/squad/2026/t177/default/512x556/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/1024x1113/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/512x512/default_t177_2026_0_002_000.jpg,6280,p242830,2026
rcd-espanyol-86632,86632,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,16,Defensa,defensa,Jugador,jugador,Vanja Drkusic,Vanja,Vanja,Drkusic,1999-10-30,Novo mesto,SI,188,80,false,true,true,false,https://assets.laliga.com/squad/2026/t177/default/512x556/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/1024x1113/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/512x512/default_t177_2026_0_002_000.jpg,35799,p462097,2026
rcd-espanyol-84476,84476,rcd-espanyol,RCD ESPANYOL,RCD Espanyol de Barcelona,21,Defensa,defensa,Jugador,jugador,Roger Hinojo,R. Hinojo,Roger,Hinojo,2005-02-21,Cabrianes,ES,180,70,false,true,false,false,https://assets.laliga.com/squad/2026/t177/default/512x556/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/1024x1113/default_t177_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t177/default/512x512/default_t177_2026_0_002_000.jpg,40203,p690618,2026
